game_id,rated,treat_type,chat_type,opp_respond,opp_rating,opp_accuracy,opp_inaccuracies,opp_mistakes,opp_blunders,opp_ACL,my_rating,my_accuracy,my_inaccuracies,my_mistakes,my_blunders,my_ACL,my_win,opp_win,draw,comment
uOy4ggHP,1,0,0,0,1346,0.82,3,0,0,42,1350,0.76,0,0,1,41,0,1,0,
Rs4nSVRM,na,na,na,,,,,,,,,,,,,,1,0,0,resigned
OIZ2hHeQ,1,0,0,0,1254,0.69,1,1,2,73,1280,0.89,3,0,0,27,1,0,0,
vqKEr1BY,1,1,Chatty,1,1277,0.69,3,0,3,70,1301,0.82,0,0,2,36,1,0,0,
tVSWOjNM,1,1,Chatty,0,1331,0.85,2,0,1,33,1290,0.87,1,0,2,28,0,0,1,
jtGmwW5I,1,1,Placebo,1,1274,0.89,3,1,3,45,1322,0.79,1,2,3,64,0,1,0,"wrong assignment from pickle, updated here. Responded in french"
rp0qA33e,1,0,0,0,1410,0.73,1,1,1,38,1349,0.92,1,0,1,22,1,0,0,
N8kJdwLj,1,0,0,0,1300,0.88,6,2,4,38,1359,0.8,7,2,3,48,0,1,0,
rOIY48FC,1,0,0,0,1336,0.88,1,1,1,36,1292,0.98,0,0,0,10,1,0,0,
AaVBwTVF,1,1,Placebo,,1331,0.57,5,0,4,80,1359,0.49,3,1,3,99,0,1,0,
jJ0JAPIo,1,1,Placebo,1,1397,0.69,4,1,3,104,1311,0.81,5,1,1,57,1,0,0,
YOaiDbgU,1,0,0,0,1370,0.91,4,0,1,29,1364,0.96,0,1,0,14,1,0,0,
7mId3RQ9,1,1,Placebo,0,1258,0.7,3,1,3,93,1291,0.64,2,2,5,128,0,1,0,"wrong assignment from pickle, updated here"
bfLiXyH7,1,1,Placebo,,,,,,,,,,,,,,,,,corrupted link?? Got 404
7gR18XoS,1,1,Chatty,0,1356,0.79,0,1,3,60,1364,0.89,2,2,1,34,1,0,0,"wrong assignment from pickle, updated here"
jnQhATj7,1,1,Chatty,1,1340,0.74,4,0,3,61,1313,0.7,3,1,4,81,0,1,0,
GN0nxUTw,1,1,Placebo,1,1328,0.68,1,1,4,68,1311,0.69,3,1,4,69,0,0,1,
Fxa59HA1,1,0,0,0,1317,0.85,2,0,3,31,1291,0.84,7,1,3,44,0,1,0,
quvnyp0p,1,1,Chatty,0,1351,0.49,1,1,4,117,1312,0.62,3,0,3,91,0,0,1,
3vN5OVdx,1,0,0,0,1336,0.65,3,1,2,83,1323,0.75,2,3,2,62,0,0,1,
U4SOZoqI,1,0,0,0,1346,0.84,5,0,1,32,1266,0.96,3,0,1,7,1,0,0,
QU1XYSzI,1,0,0,0,1368,0.85,1,1,3,50,1323,0.93,3,2,0,26,1,0,0,
a272B7d2,1,1,Chatty,,,,,,,,,,,,,,,,,resigned
53gtoQTd,1,1,Placebo,1,1397,0.81,1,1,1,64,1332,0.96,1,0,0,31,1,0,0,
XDtDnK8J,1,0,0,0,1134,0.58,3,3,2,136,1268,0.66,0,2,2,99,1,0,0,"rating had a ""?"" for opponent"
HwV6aLm7,1,0,0,0,1301,0.5,4,1,2,119,1281,0.64,1,0,3,64,1,0,0,
ZvDbHkEf,1,1,Chatty,1,1281,0.86,3,1,0,34,1268,0.81,0,1,1,36,0,0,1,
fT0iabYV,1,0,0,0,1172,0.6,2,0,2,98,1240,0.84,1,1,0,27,1,0,0,
LRSQADnO,1,0,0,0,1239,0.8,4,3,6,74,1223,0.85,2,2,3,49,1,0,0,
PvgrPaOx,1,1,Chatty,0,1289,0.83,2,1,3,48,1277,0.6,3,1,3,70,0,1,0,
zTTH1C6H,1,0,0,0,1309,0.75,3,0,1,73,1305,0.92,3,0,0,23,1,0,0,
vetk8GTF,1,0,0,0,1344,0.66,5,1,4,111,1314,0.73,2,3,3,78,1,0,0,
kSwLSZCQ,1,1,Placebo,0,1229,0.77,1,0,1,55,1293,0.96,1,0,0,12,1,0,0,
ULabDirA,1,1,Chatty,0,1374,0.68,4,4,4,91,1350,0.74,3,1,5,63,1,0,0,
klRz3sw5,1,0,0,0,1358,0.81,5,2,1,59,1357,0.89,5,1,0,30,1,0,0,
tWbVzyAy,1,1,Chatty,,,,,,,,,,,,,,,,,corrupted link?? Got 404
1mcS3U86,1,1,Chatty,1,1276,0.65,3,2,7,105,1304,0.47,4,3,6,131,0,1,0,
61AR4atg,1,1,Chatty,0,1276,0.8,1,0,7,62,1277,0.84,2,1,4,39,1,0,0,"rating had a ""?"" for opponent"
zsrffJrH,1,1,Placebo,1,1368,0.93,6,6,2,28,1371,0.86,12,3,3,41,0,1,0,
zFOfFPC6,1,0,0,0,1354,0.85,4,2,2,47,1342,0.91,2,3,0,26,1,0,0,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
w/out chat,w/ chat,,,,,,,,,,,,,,,,,,,
zsrffJrH,zsrffJrHENb5,,,,,,,,,,,,,,,,,,,